date,ticker
2010-01-04,CVA
2010-01-04,CVG
2010-01-04,CVG
2010-01-04,CVO
2010-01-04,CVO
2010-01-04,CVUA
2010-01-04,CVVT
2010-01-04,CVVT
2010-01-04,CXDC
2010-01-04,CXPO
2010-01-04,CXPO
2010-01-04,CXPO
2010-01-04,CXPO
2010-01-04,CXPO
2010-01-04,CXPO
2010-01-04,CXPO
2010-01-04,CXS
2010-01-04,CYBE
2010-01-04,CYBX
2010-01-04,CYBX
2010-01-04,CYMI
2010-01-04,CYRN
2010-01-04,CYRN
2010-01-04,CYRN
2010-01-04,CYRN
2010-01-04,CYRN
2010-01-04,CYRN
2010-01-04,CYTR
2010-01-04,CYTR
2010-01-04,DALN
2010-01-04,DALN
2010-01-04,DAVE_old
2010-01-04,DAVE_old
2010-01-04,DBD_old
2010-01-04,DBD_old
2010-01-04,DBDQQ
2010-01-04,DBDQQ
2010-01-04,DCMYY
2010-01-04,DCMYY
2010-01-04,DCP
2010-01-04,DDIC
2010-01-04,DDIC
2010-01-04,DDIC
2010-01-04,DDIC
2010-01-04,DDIC
2010-01-04,DEST
2010-01-04,DEST
2010-01-04,DESTQ
2010-01-04,DESTQ
2010-01-04,DDR
2010-01-04,DDR
2010-01-04,DDR
2010-01-04,DDR
2010-01-04,DENN
2010-01-04,DENN
2010-01-04,DENN
2010-01-04,DENN
2010-01-04,DENN
2010-01-04,DENN
2010-01-04,DENN
2010-01-04,DGIT
2010-01-04,DGIT
2010-01-04,DGIT
2010-01-04,DGIT
2010-01-04,DGIT
2010-01-04,DGIT
2010-01-04,DGIT
2010-01-04,DGIT
2010-01-04,DGIT
2010-01-04,DGIT
2010-01-04,DGIT
2010-01-04,DHIL
2010-01-04,DMND
2010-01-04,DNR
2010-01-04,DNR
2010-01-04,DOOR
2010-01-04,DPS
2010-01-04,DRJ
2010-01-04,DRL
2010-01-04,DRL
2010-01-04,DRL
2010-01-04,DRL
2010-01-04,DRL
2010-01-04,DRLCQ
2010-01-04,DRLCQ
2010-01-04,DRLCQ
2010-01-04,DRLCQ
2010-01-04,DRLCQ
2010-01-04,DS
2010-01-04,DS
2010-01-04,DSHK
2010-01-04,DSHK
2010-01-04,DSHKP
2010-01-04,DSHKP
2010-01-04,DSOX
2010-01-04,DSOX
2010-01-04,DSOX
2010-01-04,DSOX
2010-01-04,DSOX
2010-01-04,DSOX
2010-01-04,DST
2010-01-04,DST
2010-01-04,DST
2010-01-04,DST
2010-01-04,DST
2010-01-04,DST
2010-01-04,DST
2010-01-04,DST
2010-01-04,DST
2010-01-04,DST
